Category,Filename,Count
junk_annotated,oligo_junk.hdf5,8604
rare_cells_annotated,IM_CTCs_filter.hdf5,702
rare_cells_annotated,ctcs.hdf5,321
rare_cells_annotated,endos_cleaned.hdf5,210
rare_cells_annotated,large_d_only.hdf5,569
rare_cells_annotated,megas.hdf5,71
rare_cells_annotated,oligo_clean.hdf5,4384
rare_cells_annotated,pc_ctcs.hdf5,181
rare_cells_annotated,vim.hdf5,112
wbcs_annotated,0ADD705_wbcs.hdf5,30059
unannotated,MM_cluster_0.hdf5,28162
unannotated,MM_cluster_1.hdf5,25563
unannotated,MM_cluster_2.hdf5,25489
unannotated,MM_cluster_3.hdf5,22531
unannotated,MM_cluster_4.hdf5,8903
unannotated,MM_cluster_5.hdf5,6919
unannotated,MM_cluster_6.hdf5,5220
unannotated,MM_cluster_7.hdf5,5062
unannotated,other_junk_4.hdf5,1166
unannotated,v_junk.hdf5,2953
unannotated,v_rare.hdf5,296
